Food code,Main food description,Gender,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B6,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Choline,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Selenium,Potassium,RDA_Vitamin A_(mg),RDA_Vitamin B1_(mg),RDA_Vitamin B2_(mg),RDA_Vitamin B3_(mg),RDA_Vitamin B6_(mg),RDA_Vitamin B9_(mg),RDA_Vitamin B12_(mg),RDA_Vitamin C_(mg),RDA_Vitamin D_(mg),RDA_Vitamin E_(mg),RDA_Vitamin K_(mg),RDA_Choline_(mg),RDA_Calcium_(mg),RDA_Phosphorus_(mg),RDA_Magnesium_(mg),RDA_Iron_(mg),RDA_Zinc_(mg),RDA_Copper_(mg),RDA_Selenium_(mg),RDA_Potassium_(mg)
71701000,Potato pancake,Male,0.029,0.111,0.112,1.239,0.294,0.026,0.00014000000000000001,15.6,0.0004,1.65,0.0119,57.9,22,91,26,1.3,0.53,0.115,0.006,448,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71701000,Potato pancake,Female,0.029,0.111,0.112,1.239,0.294,0.026,0.00014000000000000001,15.6,0.0004,1.65,0.0119,57.9,22,91,26,1.3,0.53,0.115,0.006,448,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71701500,Lefse,Male,0.056,0.27,0.135,2.558,0.271,0.037,1e-05,4.8,0.0002,0.47,0.0044,13.7,18,64,22,1.75,0.4,0.157,0.0048,271,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71701500,Lefse,Female,0.056,0.27,0.135,2.558,0.271,0.037,1e-05,4.8,0.0002,0.47,0.0044,13.7,18,64,22,1.75,0.4,0.157,0.0048,271,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71703990,Stewed potatoes,Male,0.0,0.096,0.02,1.251,0.277,0.009,0.0,11.8,0.0,0.54,0.0037,13.4,6,47,23,0.33,0.27,0.196,0.0003,360,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71703990,Stewed potatoes,Female,0.0,0.096,0.02,1.251,0.277,0.009,0.0,11.8,0.0,0.54,0.0037,13.4,6,47,23,0.33,0.27,0.196,0.0003,360,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71704000,Stewed potatoes with tomatoes,Male,0.013,0.08,0.021,1.063,0.221,0.01,0.0,12.7,0.0,0.7,0.0062,11.5,8,42,20,0.33,0.25,0.158,0.0002,334,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71704000,Stewed potatoes with tomatoes,Female,0.013,0.08,0.021,1.063,0.221,0.01,0.0,12.7,0.0,0.7,0.0062,11.5,8,42,20,0.33,0.25,0.158,0.0002,334,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71801000,"Potato soup, NS as to made with milk or water",Male,0.024,0.027,0.049,0.244,0.029,0.001,0.00013000000000000002,0.1,0.0003,0.04,0.0006,8.4,41,46,10,0.17,0.19,0.103,0.0014,122,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71801000,"Potato soup, NS as to made with milk or water",Female,0.024,0.027,0.049,0.244,0.029,0.001,0.00013000000000000002,0.1,0.0003,0.04,0.0006,8.4,41,46,10,0.17,0.19,0.103,0.0014,122,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
